instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.stepSizes,loop_practice.maxVal,loop_practice.minVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.stepType,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.stepSizes,loop_trial.maxVal,loop_trial.minVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.stepType,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,Gender,Participant,date,expName,psychopyVersion,frameRate,
6.786493596155196,None,space,0.8474405121523887,6.786493596155196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,2,1,start,4,lin,0.24393288281885755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,3,2,start,4,lin,0.20430437229992937,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,4,3,start,4,lin,0.16917765722672617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,5,4,start,4,lin,0.13843364674088682,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,28.9886392201297,None,space,9.965308525133878,28.9886392201297,None,,,,,,,,,,,,,,,,,,,,,,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.25,1,0,"['up', 'down']",up,0.381996545009315,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,2,1,start,4,lin,0.24393288281885755,1,90,"['left', 'right']",right,0.5237778080627322,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,3,2,start,4,lin,0.20430437229992937,1,0,"['up', 'down']",up,0.3157123520504683,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,4,3,start,4,lin,0.16917765722672617,1,90,"['left', 'right']",right,0.45372877502813935,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,5,4,start,4,lin,0.13843364674088682,0,90,"['left', 'right']",up,0.23957089893519878,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,6,5,start,4,lin,0.2541450862392841,1,90,"['left', 'right']",right,0.2760936841368675,f,20191031091755,2019_Oct_31_0917,contrast_sensitivity_task,3.2.4,60.06136631891957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,7,6,start,4,lin,0.23039282086109553,,,,,,,,,,,,
