instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.stepSizes,loop_practice.maxVal,loop_practice.minVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.stepType,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.stepSizes,loop_trial.maxVal,loop_trial.minVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.stepType,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
76.24430137616582,None,j,29.68835821817629,76.24430137616582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,2,1,start,4,lin,0.42423828244673845,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,3,2,start,4,lin,0.5329717988169411,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,4,3,start,4,lin,0.5118275953317208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,5,4,start,4,lin,0.4929211195528106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,130.28615079610609,None,left,5.686473737936467,130.28615079610609,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.25,1,90,"['left', 'right']",left,1.2368359549436718,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,2,1,start,4,lin,0.24393288281885755,1,90,"['left', 'right']",left,0.7123333050403744,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,3,2,start,4,lin,0.20430437229992937,1,90,"['left', 'right']",left,0.5295982821844518,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
