Gender,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.method,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.method,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
F,14.086992451921105,None,space,0.7848980359267443,14.086992451921105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.24393288281885755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,3,2,start,4,0.20430437229992937,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,4,3,start,4,0.16917765722672617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,5,4,start,4,0.13843364674088682,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.25135068199597,None,space,1.0285245620179921,35.25135068199597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.25,1,0,"['up', 'down']",up,1.150781410979107,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.24393288281885755,1,0,"['up', 'down']",up,0.5269204860087484,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,3,2,start,4,0.20430437229992937,1,90,"['left', 'right']",right,0.6062553620431572,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,4,3,start,4,0.16917765722672617,1,90,"['left', 'right']",right,0.6283254742156714,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,5,4,start,4,0.13843364674088682,1,90,"['left', 'right']",right,0.48033963702619076,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,6,5,start,4,0.11096816841978249,1,0,"['up', 'down']",up,0.5066330530680716,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,7,6,start,4,0.08587213846235048,1,90,"['left', 'right']",right,0.6678824359551072,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,8,7,start,4,0.06304081402258854,1,0,"['up', 'down']",up,0.6862643770873547,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,9,8,start,4,0.04133809951025971,1,90,"['left', 'right']",right,0.5996519990731031,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,10,9,start,4,0.020940970069613957,1,0,"['up', 'down']",up,0.6057723420672119,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,11,10,start,4,0.0015860812118730638,1,0,"['up', 'down']",up,0.619014766998589,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,12,11,start,4,0,1,90,"['left', 'right']",right,1.1179414940997958,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,13,12,start,4,0,0,0,"['up', 'down']",right,0.7025526340585202,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,14,13,start,4,0.04755846492929583,1,0,"['up', 'down']",up,0.4470447520725429,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,15,14,start,4,0.03523666857393365,1,0,"['up', 'down']",up,0.4753860819619149,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,16,15,start,4,0.023970459341006722,1,90,"['left', 'right']",right,0.7186692650429904,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,17,16,start,4,0.013329584284417634,1,0,"['up', 'down']",up,0.566393428016454,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,18,17,start,4,0.0034077418992303765,0,90,"['left', 'right']",up,0.6203203839249909,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,19,18,start,4,0.04378322961543932,1,90,"['left', 'right']",right,0.584326989017427,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,20,19,start,4,0.03490217942879403,1,90,"['left', 'right']",right,0.6853414410725236,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,21,20,start,4,0.02664802198660296,1,0,"['up', 'down']",up,0.6312281279824674,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,22,21,start,4,0.019057298152975716,1,90,"['left', 'right']",right,0.5873143021017313,,,,,,,F,20191031103059,2019_Oct_31_1031,contrast_sensitivity_task,3.2.4,59.64969838889882,
