instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.stepSize,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.stepSize,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,Gender,Participant,date,expName,psychopyVersion,frameRate,
22.77361227897927,None,space,0.40905056498013437,22.77361227897927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,1,0,start,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,2,1,start,0.29393288281885754,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,3,2,start,0.25430437229992936,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,4,3,start,0.21917765722672616,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,5,4,start,0.1884336467408868,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,41.98580695898272,None,space,0.796914576087147,41.98580695898272,None,,,,,,,,,,,,,,,,,,,,,,,,,,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,1,0,start,0.3,1,0,"['up', 'down']",up,0.48233766201883554,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,2,1,start,0.29393288281885754,1,90,"['left', 'right']",right,0.5490978360176086,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,3,2,start,0.25430437229992936,1,90,"['left', 'right']",right,0.6687749540433288,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
