instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.pThreshold,loop_practice.max_contr,loop_practice.minVal,loop_practice.maxVal,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.stepType,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,Gender,Participant,date,expName,psychopyVersion,frameRate,
10.857186466000712,None,space,0.580659037001169,10.857186466000712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,12,4,1,1,0,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,10,4,3,1,1,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,1.2,4,0,1,2,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,8,4,2,1,3,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,12,4,1,2,4,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,8,4,2,2,5,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,1.2,4,0,2,6,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,10,4,3,2,7,start,4,log,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,10,4,3,3,8,start,4,log,0.9882314517821313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,12,4,1,3,9,start,4,log,0.9882314517821313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,8,4,2,3,10,start,4,log,0.9882314517821313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,practice,1,0.1,0.82,0.95,0,1,3.5,1.2,4,0,3,11,start,4,log,0.9882314517821313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,,,,,,,,,,,,,,,,,,,62.79883091699958,None,space,0.6150247059995309,62.79883091699958,None,,,,,,,,,,,,,,,,,,,,,,,,,,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,1,0,start,4,0.5,1,0,"['up', 'down']",up,0.6651510110023082,f,20191101164716,2019_Nov_01_1647,contrast_sensitivity_task,3.2.4,60.02947567317395,
